,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,pre_class
1971,f,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e,e
6654,f,s,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,p,p
5606,x,y,n,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,p,p
3332,f,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,e,e
6988,f,s,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,p,p
5761,x,y,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,p,p
5798,x,s,g,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,s,u,p,p
3064,x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,p,p
1811,f,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
3422,f,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
3555,f,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,e,e
5317,b,y,w,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m,p,p
706,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
1075,f,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e,e
233,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,e
3480,f,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,e,e
1557,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
7634,k,y,e,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,p,p
828,x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
2534,f,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,e,e
736,x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
856,f,s,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
7088,k,s,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,p,p
3624,x,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
5129,x,s,b,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,g,p,p
1656,x,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e,e
2574,x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
3113,f,y,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
2753,x,y,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d,e,e
1566,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,p,p
5132,x,y,n,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,p,p
5253,f,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,p,p
3455,f,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
2114,x,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,e,e
3053,f,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,e,e
4233,f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g,p,p
4012,x,f,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
4503,x,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g,p,p
7968,k,s,n,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,p,p
8080,k,s,n,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,p,p
5074,x,y,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,p,p
540,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
8016,k,s,e,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,p,p
2760,f,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
4689,f,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,p,p
7019,x,f,w,f,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,s,g,e,e
315,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p,p
2913,x,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,e,e
4502,f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d,p,p
3143,f,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
7496,x,y,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,p,p
5809,f,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d,p,p
